Control Stop,Lat,Long,Elevation (m),Name,Distance,Solar  Insolation,Wind Speed
Control Stop 0,-12.46306,130.83781,37,Darvin,0,,
,,,,Adl_river,113,,
,,,,Pine Creek,227,,
Control Stop 1,-14.4521,132.2715,108,Katherine,322,,
,,,,Mataranka,421,,
,,,,Larrimah,496,,
,,,,Daly Waters,583,,
Control Stop 2,-16.67983333,133.4119444,230,Dunamarra,633,,
,,,,Newcl Wt,710,,
,,,,Elliot,735,,
,,,,Renner Sp,826,,
Control Stop 3,-19.65775,134.1886111,376.5,Tenant Creek,988,,
,,,,Wauchope,1101,,
Control Stop 4,-21.3799,133.9756,512,Barrow Creek,1211,,
,,,,Ti Tree,1299,,
,,,,Aileron,1385,,
Control Stop 5,-23.70861111,133.8755556,545,Alice Springs,1496,,
,,,,Erldunda,1691,,
Control Stop 6,-25.83911111,133.3158333,510,Kulgera ,1756,,
,,,,Marla,1945,,
,,,,Cadney,2025,,
Control Stop 7,-29.01105556,134.7547222,230,Coober Pedy,2178,,
Control Stop 8,-30.96986111,135.7488889,145,Glendambo,2432,,
,,,,Pimba,2543,,
Control Stop 9,-32.50919444,137.7966667,10.6,Port Agusta,2719,,
Control Stop 10,-34.9285,138.6007,727,Adelaide,3022,,
